what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1470530135790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1470530146070
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1470530148875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1470530152981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1470530159980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1470530178289
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1470530178463
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1470530178511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1470530180114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1470530189799
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1470530191475
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1470530192522
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1470530192555
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1470530192566
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1470530192576
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1470530203491
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1470530208422
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1470530215162
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1470530221641
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1470530225820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1470530236879
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1470530236938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1470530241832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1470530296425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1470530296445
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1470530297843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1470530346388
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1470530353028
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1470530356365
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1470530357174
